西元前年,年份數字,紀年標題,同年序號,資料類型,國家,人物,事件詞,原文內容
前468,468,周貞定王元年（西元前四六八年）,1,史料,秦、齊、楚、晉、魯、越,句踐,,秦厲共公九年，晉出公七年，齊平公十三年，楚惠王二十一年，越句踐二十九年，魯哀公二十七年。
前468,468,周貞定王元年（西元前四六八年）,2,考案,晉、周、魯,智伯,立、滅,案：《史記·周本紀》雲：“元王八年崩，子定王介立。”《索隱》雲：“如《史記》，則元王為定王父，定王即貞王也。依《世本》，則元王為貞王子，必有一乖誤。”《左傳》哀公十九年《正義》引《世本》，既雲：“魯哀公二十年貞定王介崩，子元王赤立。”又雲：“敬王崩，貞王介立，貞王崩，元王赤立。”據此可知，介有貞、定二諡。《周本紀·集解》又引皇甫謐曰：“元王十一年癸未，三晉滅智伯，二十八年崩，三子爭立，立應為貞定王。”考《世本》以元王為貞定王之子，而《史記》則以貞定王為元王之子。《帝王世紀》從《史記》之說，但《史記》謂元王八年崩，定王二十八年崩，而《帝王世紀》又謂元王二十八年崩，貞定王十年崩，與《史記》不合。今從《史記》。
前468,468,周貞定王元年（西元前四六八年）,3,史料,魯、越、吳、宋,,卒、盟、聘,〔魯哀公〕二十七年春，越子使舌庸來聘(“舌”原誤作“後”，今從唐《石經》宋本、《金澤文庫》本及《國語·吳語》改正)，且言邾田，封於駘上。二月，盟於平陽，三子皆從，康子病之，言及子贛，曰：“若在此，吾不及此夫！”武伯曰：“然。何不召？”曰：“固將召子。”文子曰：“他日請念。”夏四月己亥，季康子卒。公吊焉，降禮。（《左傳》）
前468,468,周貞定王元年（西元前四六八年）,4,考案,齊、楚、魯、越、吳、衛、代,孔子、子貢,救、取、盟、會,案：子贛即子貢，端木氏，名賜，衛人，孔子弟子，少孔子三十一歲，時年五十四，善於外交辭令，又善經商致富。魯哀公六年孔子絕糧于陳，使子貢至楚營救。次年吳向魯征百牢，吳太宰嚭召季康子，康子使子貢辭。哀公十一年吳王夫差賜叔孫甲、劍鈸，叔孫不能應對，由子貢代對。次年衛侯會吳於鄖，為吳所執，經子貢進言太宰嚭而得釋。是年越以霸主而遣使至魯，約定以駘上為魯、邾之間疆界（蓋魯嘗侵取邾地），欲迫使三桓從魯哀公聽命於平陽之盟，季康子為越使所困，因而欲召子貢前來救解。此後不見有關子貢之記載。《史記·儒林列傳》雲：“子貢終於齊”，不知在何年。
前468,468,周貞定王元年（西元前四六八年）,5,史料,魯、越,,伐、卒,公患三桓之侈也，欲以諸侯去之；三桓亦患公之妄也，故君臣多間。公游於陵阪，遇孟武伯于孟氏之衢，曰：“請有問于子，餘及死乎？”對曰：“臣無由知之。”三問，卒辭不對。公欲以越伐魯而去三桓。秋八月甲戌，公如公孫有陘氏，因孫于邾，乃遂如越。國人施公孫有山氏。（《左傳》，杜注：“有陘氏即有山氏。”）
前468,468,周貞定王元年（西元前四六八年）,6,史料,魯、越、衛,,伐、攻、卒、立、奔,[魯哀公]二十七年春，季康子卒。夏，哀公患三桓，將欲因諸侯以劫之，三桓亦患公作難，故君臣多間。公游於陵阪，遇孟武伯于街，曰：“請問，餘及死乎？”對曰：“不知也。”公欲以越伐三桓。八月哀公如陘氏，三桓攻公，公奔于衛，去如鄒，遂如越。國人迎哀公複歸，卒於有山氏。子寧立，是為悼公。（《魯世家》）
前468,468,周貞定王元年（西元前四六八年）,7,考案,魯、越,,卒、遷,案：《左傳·正義》據《左傳》以駁《史記》，雲：“《傳》稱國人施罪於有山氏，不得複歸而卒於其家也，馬遷妄耳。”其說非是。有山氏當為由魯出國之通道，哀公由此往越，又經此歸來，未及回國都而卒。
前468,468,周貞定王元年（西元前四六八年）,8,史料,周、越,,徙都,[周]貞定王元年癸酉於越徙都琅邪。（今本《竹書紀年》）
前468,468,周貞定王元年（西元前四六八年）,9,考案,秦、齊、楚、魏、晉、周、魯、越、吳、衛,句踐,伐、攻、卒、徙都、滅、取、盟、會、奔,案：《越世家》雲：“句踐已平吳，乃以兵北渡淮，與齊、晉諸侯會于徐州，致貢于周，周元王使人賜句踐胙，命為伯。”又雲：“當是時，越兵橫行江、淮東，諸侯畢賀，號稱霸王。”《越絕書·外傳本事》雲：“越伐強吳，尊事周室，行霸琅邪。”《越絕書·記吳地傳》亦雲：“越王句踐徙瑯邪。”《吳越春秋·句踐伐吳外傳》又謂句踐二十五年，“霸於關東，從瑯琊起觀台，周七裡，以望東海。”又雲：“越王使人如木客山取元常（當作“允常”）之喪，欲徙葬琅邪，三穿元常（當作“允常”）之墓，中生熛風，飛砂石以射人，人莫能入，句踐曰：吾前君其不徙乎！遂置而去。句踐乃使使號令齊、楚、秦、晉皆輔周室，血盟而去。”此雖雜有神話，其徙都琅邪當為事實。《漢書·地理志》雲：“琅邪，越王句踐嘗治此，起館台。”《水經·濰水注》亦雲：“琅邪，山名也。越王句踐之故國也。句踐並吳，欲霸中國，徙都琅邪。”諸書未言句踐於何年徙都琅邪，惟今本《竹書紀年》列于周貞定王元年，王國維《今本竹書紀年疏證》以為即據《吳越春秋》，不確。《吳越春秋》謂句踐於琅邪起觀台在句踐二十五年，即平吳之次年。今本《竹書紀年》不知何據。錢穆《越徙琅邪考》肯定今本《竹書紀年》之說，雲：“是歲越使舌庸來正邾、魯之界，公與盟平陽，蓋即越北徙時矣。”並舉《墨子·非攻中》“東方有莒之國……是以東者越人夾削其壤地，西者齊人兼而有之”為證：“蓋越都琅邪，莒正在其西，地望正符。”（增訂本《先秦諸子系年》第一一○至一一一三頁）據《左傳》及《史記》，此年魯哀公欲以越伐魯而去三桓，三桓攻公，八月公出奔，經有陘氏、衛、鄒而如越，旋又為國人迎歸而卒於有陘氏，前後不過四五閱月。蒙文通《史記越世家補正》於“越都琅邪”條下，論之曰：“哀公七年《傳》載：邾子益曰：吳二千里，不三月不至，何及於我。邾、吳之間，較魯、越之間為猶近，已是不三月不至。而哀公之輾轉如越，又自越返魯，前後不過四五月，亦證哀公之所往者，是琅邪之越而非會稽之越也。”其說甚卓。蒙氏又謂：“《越世家·索隱》引《竹書紀年》言：朱句三十四年滅滕，三十五年滅郯。《戰國策·魏策四》雲：“繒恃齊以捍越，齊和子之亂而越人亡繒。皆明越人之活動多在北方。惟徙都琅邪始克滅滕、滅郯、亡繒、削莒，于時遂大顯于中原，而與齊、楚、晉相提並論。”(《越史叢考》第一二一至一二二頁，人民出版社一九八三年出版)蒙氏此說亦足證越王句踐徙都琅邪，至遲在此年。《越絕書》言句踐徙都琅邪，並“行霸琅邪”，確為事實。
前468,468,周貞定王元年（西元前四六八年）,10,史料,齊、晉、鄭,知伯、荀瑤,伐、救、立,晉荀瑤帥師伐鄭，次於桐丘，鄭駟弘請救于齊。齊師將興，陳成子屬孤子三日朝。設乘車兩馬，系五邑焉（“邑”通“裛”。《說文》雲：“裛，書囊也”）。召顏涿聚之子晉曰：“隰之役，而父死焉（“而”通“爾”）。以國之多難，未女恤也。今君命女以是邑也，服車而朝，毋廢前勞。”乃救鄭。及留舒，違穀七裡，穀人不知。及濮，雨，不涉。子思曰（杜注：“子思，國參）：“大國在敝邑之宇下，是以告急。今師不行，恐無及也。”成子衣制，杖戈，立於阪上，馬不出者，助之鞭之。知伯聞之，乃還，曰：“我卜伐鄭，不卜敵齊。”使謂成子曰：“大夫陳子，陳之自出。陳之不祀，鄭之罪也，故寡君使瑤察陳衷焉，謂大夫其恤陳乎：若利本之顛，瑤何有焉。”成子怒曰：“多陵人者皆不在，知伯其能久乎！”中行文子告成子曰：“有自晉師告寅者，將為輕車千乘以厭齊師之門（“厭”通“壓”），則可盡也。”成子曰：“寡君命恒曰：‘無及寡，無畏眾。’雖過千乘，敢辟之乎？將以子之命告寡君。”文子曰：“吾乃今知所以亡。君子之謀也，始、衷、終皆舉之，而後入焉。今我三不知而入之，不亦難乎！”（《左傳》哀公二十七年）
